"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"60","Trd","-0.0123 (0.2040)","-0.0685 (0.2211)","-0.0503 (0.2830)","-0.1066 (0.3645)","-0.0878 (0.6093)","-0.3560 (0.1895)","-0.3573 (0.2337)","-0.3324 (0.2815)","-0.4226 (0.3981)","-0.3718 (0.5618)","-0.4948 (0.1909)","-0.5452 (0.2722)","-0.4799 (0.2947)","-0.4543 (0.4235)","-0.5077 (0.6290)"
"60","CITS","-0.0434 (0.0578)","-0.0403 (0.0679)","-0.0291 (0.0877)","-0.0485 (0.1129)","-0.0305 (0.2104)","-0.3646 (0.0596)","-0.3586 (0.0647)","-0.3589 (0.0802)","-0.3662 (0.1275)","-0.3700 (0.2459)","-0.5202 (0.0521)","-0.5074 (0.0688)","-0.5058 (0.0792)","-0.5216 (0.1351)","-0.4828 (0.2427)"
"60","CITS_0.4_constant","-0.1682 (0.0904)","-0.1861 (0.1000)","-0.1720 (0.1395)","-0.1965 (0.2005)","-0.1713 (0.4136)","-0.5030 (0.0908)","-0.4999 (0.1093)","-0.4951 (0.1247)","-0.5272 (0.1967)","-0.4937 (0.3531)","-0.6639 (0.0973)","-0.6678 (0.1205)","-0.6635 (0.1513)","-0.6618 (0.2046)","-0.6535 (0.3502)"
"80","Trd","-0.0308 (0.1699)","-0.0370 (0.2062)","-0.0674 (0.2436)","-0.0227 (0.3456)","0.1192 (0.6037)","-0.3580 (0.1720)","-0.3780 (0.2007)","-0.3591 (0.2293)","-0.3628 (0.3497)","-0.3715 (0.5908)","-0.4925 (0.1695)","-0.4874 (0.2052)","-0.4998 (0.2615)","-0.5736 (0.3355)","-0.4931 (0.6182)"
"80","CITS","-0.0391 (0.0476)","-0.0402 (0.0578)","-0.0434 (0.0803)","-0.0486 (0.1086)","-0.0241 (0.1971)","-0.3596 (0.0505)","-0.3624 (0.0577)","-0.3684 (0.0687)","-0.3659 (0.1047)","-0.3569 (0.2285)","-0.5117 (0.0486)","-0.5158 (0.0580)","-0.5180 (0.0843)","-0.5308 (0.1062)","-0.5293 (0.1931)"
"80","CITS_0.4_constant","0.1483 (0.0738)","0.1449 (0.0948)","0.1490 (0.1380)","0.1383 (0.1877)","0.2072 (0.3450)","-0.1917 (0.0820)","-0.1779 (0.1007)","-0.1755 (0.1249)","-0.1746 (0.1803)","-0.1957 (0.3394)","-0.3283 (0.0693)","-0.3284 (0.1033)","-0.3477 (0.1297)","-0.3672 (0.1606)","-0.3318 (0.3482)"
"100","Trd","-0.0378 (0.1495)","-0.0552 (0.1818)","-0.0108 (0.2374)","-0.0409 (0.3173)","-0.0554 (0.5564)","-0.3663 (0.1400)","-0.3871 (0.1708)","-0.3591 (0.2237)","-0.3594 (0.3343)","-0.3986 (0.5842)","-0.5093 (0.1399)","-0.5090 (0.1757)","-0.5251 (0.2259)","-0.5110 (0.2975)","-0.4925 (0.5764)"
"100","CITS","-0.0437 (0.0447)","-0.0452 (0.0525)","-0.0454 (0.0656)","-0.0369 (0.0981)","-0.0629 (0.1847)","-0.3594 (0.0468)","-0.3657 (0.0524)","-0.3546 (0.0709)","-0.3408 (0.0959)","-0.3667 (0.1706)","-0.5156 (0.0516)","-0.5114 (0.0525)","-0.5171 (0.0660)","-0.5034 (0.1108)","-0.5263 (0.1745)"
"100","CITS_0.4_constant","0.0219 (0.0634)","0.0194 (0.0842)","0.0434 (0.1159)","0.0292 (0.1608)","-0.0033 (0.2847)","-0.3034 (0.0731)","-0.3078 (0.0810)","-0.3093 (0.1211)","-0.2893 (0.1610)","-0.3064 (0.2945)","-0.4597 (0.0733)","-0.4664 (0.0874)","-0.4627 (0.1074)","-0.4408 (0.1594)","-0.5083 (0.3264)"
"150","Trd","-0.0409 (0.1235)","-0.0368 (0.1364)","-0.0656 (0.1799)","-0.0031 (0.2798)","0.0260 (0.4534)","-0.3595 (0.1131)","-0.3475 (0.1587)","-0.3582 (0.1786)","-0.3882 (0.2583)","-0.3950 (0.4896)","-0.5050 (0.1273)","-0.4875 (0.1449)","-0.5192 (0.1796)","-0.4683 (0.2545)","-0.5613 (0.5017)"
"150","CITS","-0.0444 (0.0326)","-0.0435 (0.0447)","-0.0455 (0.0607)","-0.0402 (0.0793)","-0.0441 (0.1417)","-0.3606 (0.0397)","-0.3533 (0.0394)","-0.3624 (0.0587)","-0.3728 (0.0816)","-0.3786 (0.1432)","-0.5195 (0.0359)","-0.5128 (0.0430)","-0.5197 (0.0558)","-0.5242 (0.0785)","-0.5153 (0.1435)"
"150","CITS_0.4_constant","-0.0459 (0.0546)","-0.0356 (0.0693)","-0.0488 (0.0978)","-0.0390 (0.1445)","-0.0417 (0.2390)","-0.3736 (0.0594)","-0.3603 (0.0753)","-0.3691 (0.0857)","-0.3754 (0.1321)","-0.3941 (0.2617)","-0.5332 (0.0626)","-0.5162 (0.0675)","-0.5477 (0.0813)","-0.5029 (0.1348)","-0.5608 (0.2317)"
