"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0",48,"Moderate","Controlled interrupted time series(CITS)","-0.3614 (0.0614)","-0.0047 (0.0007)","92.20 (0.2900)","100.00 (0.0000)","0.0614 (0.0583)","0.0038 (0.0001)",-0.3567
"0",48,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3629 (0.0946)","-0.0062 (0.0010)","88.09 (0.3500)","98.54 (0.1300)","0.0946 (0.0787)","0.0090 (0.0001)",-0.3567
"0",48,"Moderate","Multivariable negative binomial regression(Trd)","-0.3553 (0.2189)","0.0014 (0.0023)","87.66 (0.3500)","49.42 (0.5400)","0.2189 (0.1896)","0.0479 (0.0007)",-0.3567
"0",48,"Large","Controlled interrupted time series(CITS)","-0.5171 (0.0612)","-0.0063 (0.0007)","92.60 (0.2800)","100.00 (0.0000)","0.0612 (0.0585)","0.0038 (0.0001)",-0.5108
"0",48,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5194 (0.0935)","-0.0086 (0.0010)","88.56 (0.3400)","99.99 (0.0100)","0.0935 (0.0791)","0.0088 (0.0001)",-0.5108
"0",48,"Large","Multivariable negative binomial regression(Trd)","-0.5088 (0.2175)","0.0020 (0.0023)","88.08 (0.3500)","74.44 (0.4700)","0.2175 (0.1886)","0.0473 (0.0007)",-0.5108
"0",52,"Small","Controlled interrupted time series(CITS)","-0.0438 (0.0578)","-0.0030 (0.0006)","92.56 (0.2800)","14.38 (0.3800)","0.0578 (0.0557)","0.0034 (0.0001)",-0.0408
"0",52,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0450 (0.0902)","-0.0042 (0.0010)","88.73 (0.3400)","15.58 (0.3900)","0.0902 (0.0758)","0.0081 (0.0001)",-0.0408
"0",52,"Small","Multivariable negative binomial regression(Trd)","-0.0397 (0.2147)","0.0011 (0.0023)","88.88 (0.3400)","11.68 (0.3400)","0.2147 (0.1914)","0.0461 (0.0007)",-0.0408
"0",52,"Moderate","Controlled interrupted time series(CITS)","-0.3607 (0.0582)","-0.0040 (0.0006)","92.91 (0.2800)","100.00 (0.0000)","0.0582 (0.0559)","0.0034 (0.0001)",-0.3567
"0",52,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3640 (0.0904)","-0.0073 (0.0010)","88.47 (0.3400)","99.13 (0.1000)","0.0904 (0.0760)","0.0082 (0.0001)",-0.3567
"0",52,"Moderate","Multivariable negative binomial regression(Trd)","-0.3543 (0.2154)","0.0024 (0.0023)","88.66 (0.3400)","49.71 (0.5400)","0.2154 (0.1882)","0.0464 (0.0007)",-0.3567
"0",52,"Large","Controlled interrupted time series(CITS)","-0.5174 (0.0589)","-0.0066 (0.0006)","92.39 (0.2800)","100.00 (0.0000)","0.0589 (0.0562)","0.0035 (0.0001)",-0.5108
"0",52,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5195 (0.0917)","-0.0087 (0.0010)","87.73 (0.3500)","100.00 (0.0000)","0.0917 (0.0761)","0.0085 (0.0001)",-0.5108
"0",52,"Large","Multivariable negative binomial regression(Trd)","-0.5074 (0.2161)","0.0034 (0.0023)","88.34 (0.3400)","73.88 (0.4700)","0.2161 (0.1890)","0.0467 (0.0007)",-0.5108
"0",56,"Small","Controlled interrupted time series(CITS)","-0.0434 (0.0555)","-0.0026 (0.0006)","93.31 (0.2700)","14.87 (0.3800)","0.0555 (0.0536)","0.0031 (0.0000)",-0.0408
"0",56,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0430 (0.0875)","-0.0022 (0.0009)","88.47 (0.3400)","15.49 (0.3900)","0.0875 (0.0731)","0.0077 (0.0001)",-0.0408
"0",56,"Small","Multivariable negative binomial regression(Trd)","-0.0386 (0.2092)","0.0022 (0.0022)","88.48 (0.3400)","12.47 (0.3500)","0.2092 (0.1835)","0.0438 (0.0007)",-0.0408
"0",56,"Moderate","Controlled interrupted time series(CITS)","-0.3621 (0.0567)","-0.0054 (0.0006)","92.60 (0.2800)","100.00 (0.0000)","0.0567 (0.0539)","0.0032 (0.0000)",-0.3567
"0",56,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3645 (0.0863)","-0.0078 (0.0009)","88.92 (0.3400)","99.41 (0.0800)","0.0863 (0.0732)","0.0075 (0.0001)",-0.3567
"0",56,"Moderate","Multivariable negative binomial regression(Trd)","-0.3556 (0.2106)","0.0011 (0.0023)","88.51 (0.3400)","50.90 (0.5400)","0.2106 (0.1840)","0.0444 (0.0007)",-0.3567
"0",56,"Large","Controlled interrupted time series(CITS)","-0.5170 (0.0562)","-0.0062 (0.0006)","92.91 (0.2800)","100.00 (0.0000)","0.0562 (0.0540)","0.0032 (0.0000)",-0.5108
"0",56,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5198 (0.0877)","-0.0090 (0.0009)","88.27 (0.3500)","100.00 (0.0000)","0.0877 (0.0735)","0.0078 (0.0001)",-0.5108
"0",56,"Large","Multivariable negative binomial regression(Trd)","-0.5110 (0.2088)","-0.0002 (0.0022)","88.90 (0.3400)","76.83 (0.4500)","0.2088 (0.1839)","0.0436 (0.0007)",-0.5108
