"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0.6",16,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3655 (0.2259)","-0.0088 (0.0024)","70.63 (0.4900)","70.49 (0.4900)","0.2259 (0.1356)","0.0511 (0.0008)",-0.3567
"0.6",16,"Moderate","Multivariable negative binomial regression(Trd)","-0.3392 (0.4816)","0.0175 (0.0052)","68.62 (0.5000)","42.15 (0.5300)","0.4816 (0.2836)","0.2322 (0.0035)",-0.3567
"0.6",16,"Large","Controlled interrupted time series(CITS)","-0.5199 (0.2470)","-0.0091 (0.0027)","66.91 (0.5000)","85.52 (0.3800)","0.2470 (0.1370)","0.0611 (0.0009)",-0.5108
"0.6",16,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5194 (0.2266)","-0.0086 (0.0024)","70.52 (0.4900)","87.86 (0.3500)","0.2266 (0.1363)","0.0514 (0.0008)",-0.5108
"0.6",16,"Large","Multivariable negative binomial regression(Trd)","-0.4977 (0.4743)","0.0131 (0.0051)","69.21 (0.5000)","52.01 (0.5400)","0.4743 (0.2822)","0.2251 (0.0034)",-0.5108
"0.6",18,"Small","Controlled interrupted time series(CITS)","-0.0474 (0.2311)","-0.0066 (0.0025)","69.74 (0.4900)","31.61 (0.5000)","0.2311 (0.1337)","0.0535 (0.0008)",-0.0408
"0.6",18,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0477 (0.2154)","-0.0069 (0.0023)","71.89 (0.4800)","29.03 (0.4900)","0.2154 (0.1324)","0.0464 (0.0007)",-0.0408
"0.6",18,"Small","Multivariable negative binomial regression(Trd)","-0.0316 (0.4725)","0.0092 (0.0051)","70.75 (0.4900)","29.35 (0.4900)","0.4725 (0.2862)","0.2233 (0.0034)",-0.0408
"0.6",18,"Moderate","Controlled interrupted time series(CITS)","-0.3699 (0.2287)","-0.0132 (0.0025)","69.94 (0.4900)","72.39 (0.4800)","0.2287 (0.1331)","0.0525 (0.0008)",-0.3567
"0.6",18,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3672 (0.2121)","-0.0105 (0.0023)","72.00 (0.4800)","72.72 (0.4800)","0.2121 (0.1314)","0.0451 (0.0007)",-0.3567
"0.6",18,"Moderate","Multivariable negative binomial regression(Trd)","-0.3450 (0.4661)","0.0117 (0.0050)","70.75 (0.4900)","40.47 (0.5300)","0.4661 (0.2845)","0.2174 (0.0033)",-0.3567
"0.6",18,"Large","Controlled interrupted time series(CITS)","-0.5202 (0.2297)","-0.0094 (0.0025)","69.31 (0.4900)","87.26 (0.3600)","0.2297 (0.1331)","0.0529 (0.0008)",-0.5108
"0.6",18,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5216 (0.2152)","-0.0108 (0.0023)","72.26 (0.4800)","89.32 (0.3300)","0.2152 (0.1318)","0.0464 (0.0007)",-0.5108
"0.6",18,"Large","Multivariable negative binomial regression(Trd)","-0.4994 (0.4750)","0.0114 (0.0051)","69.98 (0.4900)","51.25 (0.5400)","0.4750 (0.2846)","0.2257 (0.0035)",-0.5108
"0.6",20,"Small","Controlled interrupted time series(CITS)","-0.0487 (0.2153)","-0.0079 (0.0023)","71.71 (0.4800)","29.20 (0.4900)","0.2153 (0.1289)","0.0464 (0.0007)",-0.0408
"0.6",20,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0438 (0.2009)","-0.0030 (0.0022)","74.37 (0.4700)","26.57 (0.4700)","0.2009 (0.1276)","0.0404 (0.0006)",-0.0408
"0.6",20,"Small","Multivariable negative binomial regression(Trd)","-0.0355 (0.4575)","0.0053 (0.0049)","72.81 (0.4800)","27.39 (0.4800)","0.4575 (0.2858)","0.2093 (0.0032)",-0.0408
"0.6",20,"Moderate","Controlled interrupted time series(CITS)","-0.3693 (0.2142)","-0.0126 (0.0023)","71.65 (0.4800)","73.45 (0.4700)","0.2142 (0.1296)","0.0460 (0.0007)",-0.3567
"0.6",20,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3685 (0.2008)","-0.0118 (0.0022)","74.09 (0.4700)","74.26 (0.4700)","0.2008 (0.1277)","0.0404 (0.0006)",-0.3567
"0.6",20,"Moderate","Multivariable negative binomial regression(Trd)","-0.3436 (0.4639)","0.0131 (0.0050)","71.77 (0.4800)","40.03 (0.5300)","0.4639 (0.2865)","0.2153 (0.0033)",-0.3567
"0.6",20,"Large","Controlled interrupted time series(CITS)","-0.5202 (0.2169)","-0.0094 (0.0023)","70.90 (0.4900)","89.25 (0.3300)","0.2169 (0.1290)","0.0471 (0.0007)",-0.5108
"0.6",20,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5170 (0.2031)","-0.0062 (0.0022)","74.07 (0.4700)","90.34 (0.3200)","0.2031 (0.1281)","0.0413 (0.0006)",-0.5108
"0.6",20,"Large","Multivariable negative binomial regression(Trd)","-0.4894 (0.4669)","0.0214 (0.0050)","71.08 (0.4900)","49.67 (0.5400)","0.4669 (0.2863)","0.2184 (0.0034)",-0.5108
"0.6",24,"Small","Controlled interrupted time series(CITS)","-0.0457 (0.1980)","-0.0049 (0.0021)","73.53 (0.4700)","28.49 (0.4800)","0.1980 (0.1210)","0.0392 (0.0006)",-0.0408
"0.6",24,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0432 (0.1873)","-0.0024 (0.0020)","74.71 (0.4700)","26.45 (0.4700)","0.1873 (0.1191)","0.0351 (0.0005)",-0.0408
"0.6",24,"Small","Multivariable negative binomial regression(Trd)","-0.0175 (0.4493)","0.0233 (0.0048)","72.79 (0.4800)","27.11 (0.4800)","0.4493 (0.2828)","0.2024 (0.0031)",-0.0408
"0.6",24,"Moderate","Controlled interrupted time series(CITS)","-0.3676 (0.1962)","-0.0109 (0.0021)","73.08 (0.4800)","76.28 (0.4600)","0.1962 (0.1217)","0.0386 (0.0006)",-0.3567
"0.6",24,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3659 (0.1878)","-0.0092 (0.0020)","75.18 (0.4600)","77.20 (0.4500)","0.1878 (0.1202)","0.0354 (0.0005)",-0.3567
"0.6",24,"Moderate","Multivariable negative binomial regression(Trd)","-0.3468 (0.4532)","0.0099 (0.0049)","73.88 (0.4700)","38.47 (0.5200)","0.4532 (0.2876)","0.2054 (0.0033)",-0.3567
"0.6",24,"Large","Controlled interrupted time series(CITS)","-0.5238 (0.1949)","-0.0130 (0.0021)","73.98 (0.4700)","92.84 (0.2800)","0.1949 (0.1215)","0.0381 (0.0006)",-0.5108
"0.6",24,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5227 (0.1853)","-0.0119 (0.0020)","75.91 (0.4600)","93.77 (0.2600)","0.1853 (0.1203)","0.0345 (0.0005)",-0.5108
"0.6",24,"Large","Multivariable negative binomial regression(Trd)","-0.5053 (0.4500)","0.0055 (0.0048)","72.58 (0.4800)","50.83 (0.5400)","0.4500 (0.2832)","0.2025 (0.0030)",-0.5108
"0.6",28,"Small","Controlled interrupted time series(CITS)","-0.0499 (0.1784)","-0.0091 (0.0019)","75.39 (0.4600)","25.75 (0.4700)","0.1784 (0.1149)","0.0319 (0.0005)",-0.0408
"0.6",28,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0475 (0.1732)","-0.0067 (0.0019)","76.69 (0.4500)","24.93 (0.4600)","0.1732 (0.1139)","0.0300 (0.0005)",-0.0408
"0.6",28,"Small","Multivariable negative binomial regression(Trd)","-0.0295 (0.4378)","0.0113 (0.0047)","76.01 (0.4600)","24.16 (0.4600)","0.4378 (0.2873)","0.1918 (0.0030)",-0.0408
"0.6",28,"Moderate","Controlled interrupted time series(CITS)","-0.3668 (0.1798)","-0.0101 (0.0019)","74.93 (0.4600)","79.85 (0.4300)","0.1798 (0.1143)","0.0324 (0.0005)",-0.3567
"0.6",28,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3615 (0.1741)","-0.0048 (0.0019)","76.67 (0.4500)","79.53 (0.4300)","0.1741 (0.1139)","0.0303 (0.0005)",-0.3567
"0.6",28,"Moderate","Multivariable negative binomial regression(Trd)","-0.3393 (0.4460)","0.0174 (0.0048)","74.92 (0.4700)","37.76 (0.5200)","0.4460 (0.2883)","0.1992 (0.0031)",-0.3567
"0.6",28,"Large","Controlled interrupted time series(CITS)","-0.5187 (0.1807)","-0.0079 (0.0019)","74.95 (0.4600)","94.35 (0.2500)","0.1807 (0.1143)","0.0327 (0.0005)",-0.5108
"0.6",28,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5189 (0.1721)","-0.0081 (0.0018)","77.19 (0.4500)","95.57 (0.2200)","0.1721 (0.1140)","0.0297 (0.0005)",-0.5108
"0.6",28,"Large","Multivariable negative binomial regression(Trd)","-0.4997 (0.4431)","0.0111 (0.0048)","74.03 (0.4700)","49.82 (0.5400)","0.4431 (0.2850)","0.1965 (0.0030)",-0.5108
"0.6",32,"Small","Controlled interrupted time series(CITS)","-0.0492 (0.1696)","-0.0084 (0.0018)","75.13 (0.4600)","25.96 (0.4700)","0.1696 (0.1089)","0.0288 (0.0004)",-0.0408
"0.6",32,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0462 (0.1620)","-0.0054 (0.0017)","77.64 (0.4500)","23.92 (0.4600)","0.1620 (0.1082)","0.0263 (0.0004)",-0.0408
"0.6",32,"Small","Multivariable negative binomial regression(Trd)","-0.0288 (0.4276)","0.0120 (0.0046)","76.76 (0.4500)","23.43 (0.4500)","0.4276 (0.2884)","0.1830 (0.0028)",-0.0408
"0.6",32,"Moderate","Controlled interrupted time series(CITS)","-0.3682 (0.1683)","-0.0115 (0.0018)","76.21 (0.4600)","83.06 (0.4000)","0.1683 (0.1094)","0.0285 (0.0004)",-0.3567
"0.6",32,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3675 (0.1624)","-0.0108 (0.0017)","77.58 (0.4500)","83.64 (0.4000)","0.1624 (0.1082)","0.0265 (0.0004)",-0.3567
"0.6",32,"Moderate","Multivariable negative binomial regression(Trd)","-0.3404 (0.4300)","0.0163 (0.0046)","76.02 (0.4600)","37.43 (0.5200)","0.4300 (0.2848)","0.1851 (0.0028)",-0.3567
"0.6",32,"Large","Controlled interrupted time series(CITS)","-0.5202 (0.1669)","-0.0094 (0.0018)","76.63 (0.4500)","96.44 (0.2000)","0.1669 (0.1094)","0.0279 (0.0004)",-0.5108
"0.6",32,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5191 (0.1612)","-0.0083 (0.0017)","77.73 (0.4500)","96.89 (0.1900)","0.1612 (0.1084)","0.0261 (0.0004)",-0.5108
"0.6",32,"Large","Multivariable negative binomial regression(Trd)","-0.5013 (0.4333)","0.0095 (0.0046)","75.23 (0.4600)","49.85 (0.5400)","0.4333 (0.2823)","0.1879 (0.0028)",-0.5108
"0.6",36,"Small","Controlled interrupted time series(CITS)","-0.0492 (0.1582)","-0.0084 (0.0017)","77.43 (0.4500)","25.13 (0.4700)","0.1582 (0.1038)","0.0251 (0.0004)",-0.0408
"0.6",36,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0486 (0.1523)","-0.0078 (0.0016)","78.71 (0.4400)","23.40 (0.4500)","0.1523 (0.1034)","0.0232 (0.0004)",-0.0408
"0.6",36,"Small","Multivariable negative binomial regression(Trd)","-0.0362 (0.4259)","0.0046 (0.0046)","78.10 (0.4400)","22.33 (0.4500)","0.4259 (0.2907)","0.1814 (0.0027)",-0.0408
"0.6",36,"Moderate","Controlled interrupted time series(CITS)","-0.3637 (0.1572)","-0.0070 (0.0017)","77.52 (0.4500)","85.29 (0.3800)","0.1572 (0.1041)","0.0248 (0.0004)",-0.3567
"0.6",36,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3624 (0.1515)","-0.0057 (0.0016)","79.04 (0.4400)","85.88 (0.3700)","0.1515 (0.1036)","0.0230 (0.0004)",-0.3567
"0.6",36,"Moderate","Multivariable negative binomial regression(Trd)","-0.3462 (0.4413)","0.0105 (0.0047)","76.51 (0.4500)","37.35 (0.5200)","0.4413 (0.2894)","0.1949 (0.0031)",-0.3567
"0.6",36,"Large","Controlled interrupted time series(CITS)","-0.5211 (0.1573)","-0.0103 (0.0017)","77.31 (0.4500)","97.76 (0.1600)","0.1573 (0.1039)","0.0248 (0.0004)",-0.5108
"0.6",36,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5178 (0.1525)","-0.0070 (0.0016)","78.82 (0.4400)","97.88 (0.1500)","0.1525 (0.1039)","0.0233 (0.0004)",-0.5108
"0.6",36,"Large","Multivariable negative binomial regression(Trd)","-0.4971 (0.4345)","0.0137 (0.0047)","76.10 (0.4600)","48.53 (0.5400)","0.4345 (0.2888)","0.1889 (0.0030)",-0.5108
"0.6",40,"Small","Controlled interrupted time series(CITS)","-0.0443 (0.1471)","-0.0035 (0.0016)","78.38 (0.4400)","23.15 (0.4500)","0.1471 (0.0990)","0.0217 (0.0003)",-0.0408
"0.6",40,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0445 (0.1429)","-0.0037 (0.0015)","79.80 (0.4300)","21.96 (0.4400)","0.1429 (0.0990)","0.0204 (0.0003)",-0.0408
"0.6",40,"Small","Multivariable negative binomial regression(Trd)","-0.0346 (0.4308)","0.0062 (0.0046)","77.80 (0.4500)","22.32 (0.4500)","0.4308 (0.2918)","0.1856 (0.0028)",-0.0408
"0.6",40,"Moderate","Controlled interrupted time series(CITS)","-0.3627 (0.1490)","-0.0060 (0.0016)","77.67 (0.4500)","87.44 (0.3600)","0.1490 (0.0993)","0.0222 (0.0003)",-0.3567
"0.6",40,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3600 (0.1448)","-0.0033 (0.0016)","79.80 (0.4300)","87.42 (0.3600)","0.1448 (0.0996)","0.0210 (0.0003)",-0.3567
"0.6",40,"Moderate","Multivariable negative binomial regression(Trd)","-0.3444 (0.4325)","0.0123 (0.0046)","77.62 (0.4500)","36.92 (0.5200)","0.4325 (0.2890)","0.1872 (0.0029)",-0.3567
"0.6",40,"Large","Controlled interrupted time series(CITS)","-0.5211 (0.1487)","-0.0103 (0.0016)","78.34 (0.4400)","98.30 (0.1400)","0.1487 (0.0990)","0.0222 (0.0003)",-0.5108
"0.6",40,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5183 (0.1444)","-0.0075 (0.0015)","79.51 (0.4300)","98.40 (0.1300)","0.1444 (0.0991)","0.0209 (0.0003)",-0.5108
"0.6",40,"Large","Multivariable negative binomial regression(Trd)","-0.5052 (0.4430)","0.0056 (0.0048)","76.92 (0.4500)","49.22 (0.5400)","0.4430 (0.2906)","0.1963 (0.0030)",-0.5108
"0.6",44,"Small","Controlled interrupted time series(CITS)","-0.0445 (0.1413)","-0.0037 (0.0015)","78.51 (0.4400)","22.97 (0.4500)","0.1413 (0.0945)","0.0200 (0.0003)",-0.0408
"0.6",44,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0431 (0.1375)","-0.0023 (0.0015)","79.86 (0.4300)","22.16 (0.4500)","0.1375 (0.0951)","0.0189 (0.0003)",-0.0408
"0.6",44,"Small","Multivariable negative binomial regression(Trd)","-0.0286 (0.4149)","0.0122 (0.0045)","78.15 (0.4400)","21.71 (0.4400)","0.4149 (0.2826)","0.1722 (0.0027)",-0.0408
"0.6",44,"Moderate","Controlled interrupted time series(CITS)","-0.3634 (0.1414)","-0.0067 (0.0015)","78.81 (0.4400)","89.99 (0.3200)","0.1414 (0.0948)","0.0200 (0.0003)",-0.3567
"0.6",44,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3603 (0.1387)","-0.0036 (0.0015)","79.89 (0.4300)","89.38 (0.3300)","0.1387 (0.0953)","0.0192 (0.0003)",-0.3567
"0.6",44,"Moderate","Multivariable negative binomial regression(Trd)","-0.3439 (0.4152)","0.0128 (0.0045)","77.76 (0.4500)","36.33 (0.5200)","0.4152 (0.2798)","0.1725 (0.0027)",-0.3567
"0.6",44,"Large","Controlled interrupted time series(CITS)","-0.5198 (0.1440)","-0.0090 (0.0015)","77.70 (0.4500)","98.79 (0.1200)","0.1440 (0.0949)","0.0208 (0.0003)",-0.5108
"0.6",44,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5159 (0.1405)","-0.0051 (0.0015)","78.61 (0.4400)","98.90 (0.1100)","0.1405 (0.0950)","0.0198 (0.0003)",-0.5108
"0.6",44,"Large","Multivariable negative binomial regression(Trd)","-0.4964 (0.4228)","0.0144 (0.0045)","76.45 (0.4600)","50.29 (0.5400)","0.4228 (0.2792)","0.1790 (0.0027)",-0.5108
"0.6",48,"Small","Controlled interrupted time series(CITS)","-0.0474 (0.1351)","-0.0066 (0.0014)","78.83 (0.4400)","23.50 (0.4500)","0.1351 (0.0912)","0.0183 (0.0003)",-0.0408
"0.6",48,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0451 (0.1329)","-0.0043 (0.0014)","79.80 (0.4300)","22.04 (0.4400)","0.1329 (0.0916)","0.0177 (0.0003)",-0.0408
"0.6",48,"Small","Multivariable negative binomial regression(Trd)","-0.0289 (0.4067)","0.0119 (0.0044)","78.45 (0.4400)","21.50 (0.4400)","0.4067 (0.2751)","0.1656 (0.0025)",-0.0408
"0.6",48,"Moderate","Controlled interrupted time series(CITS)","-0.3650 (0.1334)","-0.0083 (0.0014)","79.78 (0.4300)","92.08 (0.2900)","0.1334 (0.0907)","0.0179 (0.0003)",-0.3567
"0.6",48,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3613 (0.1327)","-0.0046 (0.0014)","80.52 (0.4200)","91.30 (0.3000)","0.1327 (0.0914)","0.0176 (0.0003)",-0.3567
"0.6",48,"Moderate","Multivariable negative binomial regression(Trd)","-0.3478 (0.4094)","0.0089 (0.0044)","77.51 (0.4500)","37.52 (0.5200)","0.4094 (0.2736)","0.1677 (0.0025)",-0.3567
"0.6",48,"Large","Controlled interrupted time series(CITS)","-0.5196 (0.1349)","-0.0088 (0.0014)","79.22 (0.4400)","99.33 (0.0900)","0.1349 (0.0915)","0.0183 (0.0003)",-0.5108
"0.6",48,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5154 (0.1317)","-0.0046 (0.0014)","80.31 (0.4300)","99.36 (0.0900)","0.1317 (0.0916)","0.0174 (0.0003)",-0.5108
"0.6",48,"Large","Multivariable negative binomial regression(Trd)","-0.4986 (0.4166)","0.0122 (0.0045)","76.53 (0.4500)","51.07 (0.5400)","0.4166 (0.2719)","0.1736 (0.0027)",-0.5108
"0.6",52,"Small","Controlled interrupted time series(CITS)","-0.0455 (0.1301)","-0.0047 (0.0014)","79.44 (0.4300)","23.41 (0.4500)","0.1301 (0.0881)","0.0169 (0.0003)",-0.0408
"0.6",52,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0425 (0.1281)","-0.0017 (0.0014)","80.23 (0.4300)","21.87 (0.4400)","0.1281 (0.0887)","0.0164 (0.0002)",-0.0408
"0.6",52,"Small","Multivariable negative binomial regression(Trd)","-0.0335 (0.4033)","0.0073 (0.0043)","78.48 (0.4400)","21.66 (0.4400)","0.4033 (0.2751)","0.1627 (0.0025)",-0.0408
"0.6",52,"Moderate","Controlled interrupted time series(CITS)","-0.3653 (0.1294)","-0.0086 (0.0014)","79.25 (0.4400)","93.00 (0.2700)","0.1294 (0.0879)","0.0168 (0.0003)",-0.3567
"0.6",52,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3617 (0.1277)","-0.0050 (0.0014)","80.20 (0.4300)","92.67 (0.2800)","0.1277 (0.0884)","0.0163 (0.0003)",-0.3567
"0.6",52,"Moderate","Multivariable negative binomial regression(Trd)","-0.3582 (0.4047)","-0.0015 (0.0043)","77.84 (0.4500)","38.11 (0.5200)","0.4047 (0.2732)","0.1638 (0.0024)",-0.3567
"0.6",52,"Large","Controlled interrupted time series(CITS)","-0.5200 (0.1293)","-0.0092 (0.0014)","79.47 (0.4300)","99.53 (0.0700)","0.1293 (0.0882)","0.0168 (0.0003)",-0.5108
"0.6",52,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5160 (0.1276)","-0.0052 (0.0014)","81.12 (0.4200)","99.49 (0.0800)","0.1276 (0.0889)","0.0163 (0.0003)",-0.5108
"0.6",52,"Large","Multivariable negative binomial regression(Trd)","-0.5063 (0.4181)","0.0045 (0.0045)","76.85 (0.4500)","50.90 (0.5400)","0.4181 (0.2744)","0.1748 (0.0027)",-0.5108
"0.6",56,"Small","Controlled interrupted time series(CITS)","-0.0475 (0.1246)","-0.0067 (0.0013)","79.93 (0.4300)","23.72 (0.4600)","0.1246 (0.0849)","0.0156 (0.0002)",-0.0408
"0.6",56,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0458 (0.1226)","-0.0050 (0.0013)","81.03 (0.4200)","21.80 (0.4400)","0.1226 (0.0857)","0.0151 (0.0002)",-0.0408
"0.6",56,"Small","Multivariable negative binomial regression(Trd)","-0.0390 (0.3995)","0.0018 (0.0043)","78.64 (0.4400)","21.39 (0.4400)","0.3995 (0.2708)","0.1596 (0.0024)",-0.0408
"0.6",56,"Moderate","Controlled interrupted time series(CITS)","-0.3627 (0.1236)","-0.0060 (0.0013)","80.38 (0.4300)","94.22 (0.2500)","0.1236 (0.0854)","0.0153 (0.0002)",-0.3567
"0.6",56,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3614 (0.1206)","-0.0047 (0.0013)","82.15 (0.4100)","94.52 (0.2400)","0.1206 (0.0860)","0.0146 (0.0002)",-0.3567
"0.6",56,"Moderate","Multivariable negative binomial regression(Trd)","-0.3516 (0.4020)","0.0051 (0.0043)","77.84 (0.4500)","37.89 (0.5200)","0.4020 (0.2694)","0.1616 (0.0025)",-0.3567
"0.6",56,"Large","Controlled interrupted time series(CITS)","-0.5201 (0.1255)","-0.0093 (0.0013)","79.53 (0.4300)","99.80 (0.0500)","0.1255 (0.0855)","0.0158 (0.0002)",-0.5108
"0.6",56,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5175 (0.1234)","-0.0067 (0.0013)","81.07 (0.4200)","99.84 (0.0400)","0.1234 (0.0863)","0.0153 (0.0002)",-0.5108
"0.6",56,"Large","Multivariable negative binomial regression(Trd)","-0.5035 (0.4080)","0.0073 (0.0044)","77.58 (0.4500)","51.21 (0.5400)","0.4080 (0.2708)","0.1665 (0.0026)",-0.5108
"0.6",60,"Small","Controlled interrupted time series(CITS)","-0.0480 (0.1203)","-0.0072 (0.0013)","80.55 (0.4200)","23.32 (0.4500)","0.1203 (0.0826)","0.0145 (0.0002)",-0.0408
"0.6",60,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0454 (0.1186)","-0.0046 (0.0013)","81.19 (0.4200)","21.57 (0.4400)","0.1186 (0.0833)","0.0141 (0.0002)",-0.0408
"0.6",60,"Small","Multivariable negative binomial regression(Trd)","-0.0317 (0.3873)","0.0091 (0.0042)","79.39 (0.4300)","21.26 (0.4400)","0.3873 (0.2646)","0.1501 (0.0023)",-0.0408
"0.6",60,"Moderate","Controlled interrupted time series(CITS)","-0.3626 (0.1187)","-0.0059 (0.0013)","80.87 (0.4200)","95.51 (0.2200)","0.1187 (0.0825)","0.0141 (0.0002)",-0.3567
"0.6",60,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3614 (0.1176)","-0.0047 (0.0013)","82.65 (0.4100)","95.50 (0.2200)","0.1176 (0.0834)","0.0138 (0.0002)",-0.3567
"0.6",60,"Moderate","Multivariable negative binomial regression(Trd)","-0.3476 (0.3977)","0.0091 (0.0043)","77.37 (0.4500)","38.31 (0.5200)","0.3977 (0.2647)","0.1582 (0.0023)",-0.3567
"0.6",60,"Large","Controlled interrupted time series(CITS)","-0.5189 (0.1193)","-0.0081 (0.0013)","80.34 (0.4300)","99.85 (0.0400)","0.1193 (0.0827)","0.0143 (0.0002)",-0.5108
"0.6",60,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5159 (0.1179)","-0.0051 (0.0013)","81.76 (0.4100)","99.93 (0.0300)","0.1179 (0.0835)","0.0139 (0.0002)",-0.5108
"0.6",60,"Large","Multivariable negative binomial regression(Trd)","-0.4996 (0.4017)","0.0112 (0.0043)","77.85 (0.4500)","51.31 (0.5400)","0.4017 (0.2662)","0.1615 (0.0025)",-0.5108
"0.6",80,"Small","Controlled interrupted time series(CITS)","-0.0461 (0.1020)","-0.0053 (0.0011)","81.65 (0.4200)","22.55 (0.4500)","0.1020 (0.0722)","0.0104 (0.0002)",-0.0408
"0.6",80,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0446 (0.1020)","-0.0038 (0.0011)","82.77 (0.4100)","20.98 (0.4400)","0.1020 (0.0733)","0.0104 (0.0002)",-0.0408
"0.6",80,"Small","Multivariable negative binomial regression(Trd)","-0.0374 (0.3537)","0.0034 (0.0038)","79.21 (0.4400)","20.96 (0.4400)","0.3537 (0.2415)","0.1251 (0.0019)",-0.0408
"0.6",80,"Moderate","Controlled interrupted time series(CITS)","-0.3634 (0.1030)","-0.0067 (0.0011)","81.39 (0.4200)","98.43 (0.1300)","0.1030 (0.0719)","0.0106 (0.0002)",-0.3567
"0.6",80,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3601 (0.1024)","-0.0034 (0.0011)","82.72 (0.4100)","98.12 (0.1500)","0.1024 (0.0732)","0.0105 (0.0002)",-0.3567
"0.6",80,"Moderate","Multivariable negative binomial regression(Trd)","-0.3516 (0.3576)","0.0051 (0.0038)","78.79 (0.4400)","40.41 (0.5300)","0.3576 (0.2412)","0.1279 (0.0020)",-0.3567
"0.6",80,"Large","Controlled interrupted time series(CITS)","-0.5175 (0.1044)","-0.0067 (0.0011)","81.08 (0.4200)","99.99 (0.0100)","0.1044 (0.0722)","0.0109 (0.0002)",-0.5108
"0.6",80,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5139 (0.1035)","-0.0031 (0.0011)","82.35 (0.4100)","99.97 (0.0200)","0.1035 (0.0733)","0.0107 (0.0002)",-0.5108
"0.6",80,"Large","Multivariable negative binomial regression(Trd)","-0.5061 (0.3591)","0.0047 (0.0039)","79.09 (0.4400)","55.84 (0.5300)","0.3591 (0.2420)","0.1289 (0.0020)",-0.5108
"0.6",100,"Small","Controlled interrupted time series(CITS)","-0.0435 (0.0924)","-0.0027 (0.0010)","84.00 (0.3900)","20.57 (0.4300)","0.0924 (0.0682)","0.0085 (0.0001)",-0.0408
"0.6",100,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0420 (0.0917)","-0.0012 (0.0010)","84.94 (0.3800)","19.11 (0.4200)","0.0917 (0.0693)","0.0084 (0.0001)",-0.0408
"0.6",100,"Small","Multivariable negative binomial regression(Trd)","-0.0435 (0.3199)","-0.0027 (0.0034)","81.79 (0.4100)","18.19 (0.4100)","0.3199 (0.2304)","0.1024 (0.0016)",-0.0408
"0.6",100,"Moderate","Controlled interrupted time series(CITS)","-0.3643 (0.0929)","-0.0076 (0.0010)","83.84 (0.3900)","99.18 (0.1000)","0.0929 (0.0689)","0.0087 (0.0001)",-0.3567
"0.6",100,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3606 (0.0912)","-0.0039 (0.0010)","85.50 (0.3800)","99.23 (0.0900)","0.0912 (0.0697)","0.0083 (0.0001)",-0.3567
