"rho","n","EstimandScenario","Method","R_total","R_converged","nonconv_rate","true_val","B_hat","Bias","MCSE_Bias","Bias_percent","MSE_estimate","MCSE_MSE","coverage","MCSE_coverage","power","MCSE_power","Empirical_SE","avg_model_SE","ratio_Emp_ModelSE","power_pct","MCSE_power_pct","coverage_pct","MCSE_cov_pct"
"0.6",16,"Moderate","CITS_0.4_constant",8688,8688,0,-0.3567,-0.3657,-0.009,0.0024,2.52,0.0511,0.000774577788523707,0.705686003683241,0.0049,0.705225598526704,0.0049,0.2259,0.1356,1.6659,70.52,0.49,70.57,0.49
"0.6",16,"Moderate","CITS_spill_3pct",8688,8688,0,-0.3567,-0.2595,0.0972,0.0026,27.25,0.0683,0.0010203561458629,0.635013812154696,0.0052,0.556975138121547,0.0053,0.2427,0.1362,1.7819,55.7,0.53,63.5,0.52
"0.6",16,"Moderate","Trd",8688,8688,0,-0.3567,-0.3392,0.0175,0.0052,4.91,0.2322,0.00349287107986149,0.686233885819521,0.005,0.421500920810313,0.0053,0.4816,0.2836,1.6982,42.15,0.53,68.62,0.5
"0.6",16,"Large","CITS",8688,8688,0,-0.5108,-0.5201,-0.0093,0.0026,1.82,0.061,0.000934244284072525,0.66908379373849,0.005,0.85554788213628,0.0038,0.2468,0.1369,1.8028,85.55,0.38,66.91,0.5
"0.6",16,"Large","CITS_0.4_constant",8688,8688,0,-0.5108,-0.5196,-0.0088,0.0024,1.72,0.0514,0.000808572753956585,0.705340699815838,0.0049,0.878798342541437,0.0035,0.2266,0.1362,1.6637,87.88,0.35,70.53,0.49
"0.6",16,"Large","CITS_spill_3pct",8688,8688,0,-0.5108,-0.4154,0.0954,0.0026,18.68,0.0698,0.0010376829893613,0.62914364640884,0.0052,0.756560773480663,0.0046,0.2464,0.1371,1.7972,75.66,0.46,62.91,0.52
"0.6",16,"Large","Trd",8688,8688,0,-0.5108,-0.4977,0.0131,0.0051,2.56,0.2251,0.00343535968958818,0.692104051565378,0.005,0.520142725598527,0.0054,0.4743,0.2822,1.6807,52.01,0.54,69.21,0.5
"0.6",18,"Small","CITS",8688,8688,0,-0.0408,-0.0476,-0.0068,0.0025,16.67,0.0534,0.000844892294784944,0.697628913443831,0.0049,0.316068139963168,0.005,0.231,0.1336,1.729,31.61,0.5,69.76,0.49
"0.6",18,"Small","CITS_0.4_constant",8688,8688,0,-0.0408,-0.048,-0.0072,0.0023,17.65,0.0464,0.000699059560766561,0.718922651933702,0.0048,0.290285451197053,0.0049,0.2154,0.1324,1.6269,29.03,0.49,71.89,0.48
"0.6",18,"Small","CITS_spill_3pct",8688,8688,0,-0.0408,0.058,0.0988,0.0025,242.16,0.0631,0.000927910451369215,0.641114180478821,0.0051,0.325276243093923,0.005,0.2311,0.1336,1.7298,32.53,0.5,64.11,0.51
